action_type,actions,actions_per_dau,actions_per_user,cli,date_field,dau,experiment,gid,users,variant_group,version
view,74708,9.068705997,9.351358117,0,09/16/2015,8238,content,4,7989,3,2
use_hint,13831,1.678926924,2.504254934,0,09/16/2015,8238,content,4,5523,3,2
fail,55098,6.668038243,8.494912118,0,09/05/2015,8263,content,4,6486,3,2
clear,76096,9.209246037,13.23408696,0,09/05/2015,8263,content,4,5750,3,2
use_hint,16879,1.89566487,2.672419253,0,09/13/2015,8904,content,4,6316,3,2
clear,77853,8.743598383,13.09334006,0,09/13/2015,8904,content,4,5946,3,2
fail,56463,6.341307278,8.263281136,0,09/13/2015,8904,content,4,6833,3,2
view,73963,14.57686244,14.85499096,0,08/25/2015,5074,content,4,4979,2,2
clear,45016,7.551753062,11.40800811,0,09/14/2015,5961,content,4,3946,1,2
fail,34105,5.721355477,7.545353982,0,09/14/2015,5961,content,4,4520,1,2
view,53285,8.93893642,9.174414601,0,09/14/2015,5961,content,4,5808,1,2
fail,50025,7.524819495,9.360965569,0,08/26/2015,6648,content,4,5344,3,2
use_hint,14440,2.172081829,3.034888609,0,08/26/2015,6648,content,4,4758,3,2
fail,42518,6.603199255,8.671833571,0,09/13/2015,6439,content,4,4903,1,2
clear,58419,9.072682093,13.48545706,0,09/13/2015,6439,content,4,4332,1,2
clear,101270,12.00165916,16.66721527,0,08/31/2015,8438,content,4,6076,3,2
use_hint,19962,2.365726475,3.217082998,0,08/31/2015,8438,content,4,6205,3,2
fail,68812,8.155013036,10.10603613,0,08/31/2015,8438,content,4,6809,3,2
fail,42811,5.459194083,7.16262339,0,09/09/2015,7842,content,4,5977,3,2
clear,57544,7.337923999,11.02586702,0,09/09/2015,7842,content,4,5219,3,2
view,68020,8.673807702,8.867162039,0,09/09/2015,7842,content,4,7671,3,2
clear,87825,13.58889061,18.33507307,0,08/31/2015,6463,content,4,4790,2,2
clear,67950,10.80114449,15.36287588,0,09/01/2015,6291,content,4,4423,2,2
view,87129,13.04131118,13.30620037,0,08/25/2015,6681,content,4,6548,3,2
fail,51945,7.775033678,9.720247006,0,08/25/2015,6681,content,4,5344,3,2
clear,76160,11.39949109,16.12193057,0,08/25/2015,6681,content,4,4724,3,2
use_hint,11948,1.927718619,2.803378695,0,09/03/2015,6198,content,4,4262,2,2
clear,62313,10.05372701,14.24297143,0,09/03/2015,6198,content,4,4375,2,2
view,72037,11.6226202,11.84234753,0,09/03/2015,6198,content,4,6083,2,2
use_hint,10608,1.760371723,2.514935989,0,09/09/2015,6026,content,4,4218,2,2
clear,49873,8.276302688,12.14341368,0,09/09/2015,6026,content,4,4107,2,2
view,90555,11.13837638,11.38197587,0,09/01/2015,8130,content,4,7956,3,2
fail,55435,6.818573186,8.645508422,0,09/01/2015,8130,content,4,6412,3,2
clear,76636,9.426322263,13.67523198,0,09/01/2015,8130,content,4,5604,3,2
fail,45477,5.515706489,7.364696356,0,09/14/2015,8245,content,4,6175,3,2
clear,59843,7.258095816,11.18769864,0,09/14/2015,8245,content,4,5349,3,2
use_hint,13580,1.647058824,2.372052402,0,09/14/2015,8245,content,4,5725,3,2
fail,35314,5.841852771,7.623920553,0,09/08/2015,6045,content,4,4632,2,2
use_hint,10307,1.705045492,2.444154612,0,09/08/2015,6045,content,4,4217,2,2
clear,50761,10.14408473,14.37174405,0,08/29/2015,5004,content,4,3532,1,2
clear,48628,7.868608414,12.12668329,0,09/12/2015,6180,content,4,4010,1,2
use_hint,10590,1.713592233,2.571012382,0,09/12/2015,6180,content,4,4119,1,2
fail,35647,5.768122977,7.702463267,0,09/12/2015,6180,content,4,4628,1,2
view,68020,12.90457219,13.19495635,0,08/27/2015,5271,content,4,5155,2,2
clear,59060,11.20470499,15.97943723,0,08/27/2015,5271,content,4,3696,2,2
fail,46197,7.412869063,9.517305315,0,09/02/2015,6232,content,4,4854,2,2
use_hint,12438,1.995827985,2.877168633,0,09/02/2015,6232,content,4,4323,2,2
clear,65267,9.373402269,13.99078242,0,09/13/2015,6963,content,4,4665,2,2
use_hint,12839,1.629728357,2.387318706,0,09/11/2015,7878,content,4,5378,3,2
fail,40592,5.152576796,6.839427127,0,09/11/2015,7878,content,4,5935,3,2
clear,64138,10.81402799,15.51475568,0,09/01/2015,5931,content,4,4134,1,2
fail,45231,7.626201315,9.727096774,0,09/01/2015,5931,content,4,4650,1,2
view,74003,12.47732254,12.7745555,0,09/01/2015,5931,content,4,5793,1,2
clear,53200,8.152007355,12.64258555,0,09/12/2015,6526,content,4,4208,2,2
view,62958,9.647257125,10.06522782,0,09/12/2015,6526,content,4,6255,2,2
fail,34323,5.761792849,7.531928901,0,09/10/2015,5957,content,4,4557,2,2
use_hint,10093,1.694309216,2.443234084,0,09/10/2015,5957,content,4,4131,2,2
clear,55290,9.718755493,13.71619945,0,09/03/2015,5689,content,4,4031,1,2
use_hint,11240,1.975742661,2.802293692,0,09/03/2015,5689,content,4,4011,1,2
view,97433,12.6898932,12.93243961,0,08/30/2015,7678,content,4,7534,3,2
fail,58893,7.670356864,9.632482826,0,08/30/2015,7678,content,4,6114,3,2
